"Metric","Value","Definition","Benchmark"
"ARR","$13,673,531","Monthly Recurring Revenue x 12","Series A target: > ARR"
"MRR","$1,139,461","Total monthly recurring subscription revenue","-"
"MRR Growth MoM","-6.3%","Average month-over-month MRR growth","Healthy: >5% MoM; Elite: >10% MoM"
"Gross Margin","78.7%","Revenue minus COGS / Revenue","Supplement industry: 65-80%; FarmCeutica target: >75%"
"Net Revenue Retention","24.8%","Revenue from existing customers after 12 months / starting revenue","Good: >100%; Best-in-class: >120%"
"LTV to CAC","15.0x","Customer Lifetime Value / Customer Acquisition Cost","Healthy: >3x; Excellent: >5x"
"CAC Payback Months","1 months","Months to recover customer acquisition cost","Good: <12mo; Excellent: <6mo"
"Rule of 40","138.6","Revenue growth rate + profit margin","Target: >40; Elite SaaS/DTC: >60"
"Monthly FCF","$1,163,424","Monthly free cash flow (positive = generating cash)","Cash flow positive is the target"
"Cash Runway Months","88 months","Ending cash / monthly operating expenses",">18 months for fundraising comfort"
"Active Customers","8,500","Total active paying customers","-"
"ARPU Monthly","$134.05","MRR / Active Customers","Supplement DTC: -/mo"
"Total Revenue Pipeline","$32,861,633","ARR + Bundle Revenue + Partner Revenue","-"
"Portfolio Health","69/100","Weighted composite across margin, channels, and viability",">70 = healthy portfolio"
"Revenue Per SKU","$382,459","Annual revenue / Total SKUs","Higher = more efficient catalog"
