"Bundle","Strategy","Quality","SKUCount","BundlePrice","CustomerSavings","DTCMargin","AnnualRevenue","AnnualGrossProfit","TargetAudience"
"NeuroCalm Complete Protocol","Star Anchor","PREMIUM","4","381.73","83.79","89.0%","618402.60","550540.80","Anxiety, stress, sleep optimization"
"Metabolic Activation Stack","Star Anchor","PREMIUM","4","250.53","54.99","88.2%","396839.52","350127.36","Weight management, metabolic optimization, keto"
"Cognitive Elite Bundle","Star Anchor","PREMIUM","3","320.14","56.50","89.1%","510943.44","455019.60","Executives, students, cognitive performance"
"Longevity Foundation Pack","Star Anchor","PREMIUM","4","331.80","72.84","85.9%","525571.20","451376.64","Anti-aging, healthspan optimization"
"Women's Vitality Essentials","Cross-Category","STRONG","4","201.33","44.19","87.6%","306826.92","268665.96","Women 30-55, hormonal health"
"Prenatal to Postnatal Journey","Cross-Category","STANDARD","4","332.53","72.99","79.8%","486823.92","388721.28","Expecting and new mothers"
"Family Wellness Pack","Cross-Category","STRONG","4","217.73","47.79","86.4%","326595.00","282210.00","Families with children"
"Detox & Repair Protocol","Cross-Category","STANDARD","4","250.53","54.99","85.1%","372788.64","317196.96","Detox protocols, gut health recovery"
"Mushroom Immunity Stack","Category Depth","STANDARD","5","235.52","58.88","82.5%","327843.84","270368.16","Immune support, functional mushroom enthusiasts"
"Methylation Master Protocol","Category Depth","STANDARD","4","381.73","83.79","82.9%","535948.92","444141.36","Patients with methylation SNPs"
"Histamine Freedom Protocol","Category Depth","STRONG","3","269.14","47.50","86.8%","403710.00","350580.00","Histamine intolerance, mast cell patients"
"Athletic Performance Max","Performance","STANDARD","4","282.60","62.04","85.5%","427291.20","365435.28","Athletes, fitness enthusiasts"
"Men's Optimization Stack","Performance","STANDARD","4","348.20","76.44","83.7%","530656.80","444108.84","Men 35-60, vitality and performance"
"Methylation Test & Treat","Test + Treat","MIXED","4","463.73","101.79","57.5%","589864.56","339191.52","New patients seeking personalized protocol"
"Complete Assessment Package","Test + Treat","STRONG","4","693.33","152.19","50.6%","998395.20","505540.80","Comprehensive health optimization seekers"
